date,startup_name,industry_vertical,subvertical,country,city /state location,investors_name,investment_type,amount_in_usd,year,month
2019-04-19,KrazyBee,E-Commerce,Lending Platform,India,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt Funding,14342000,2019,April
2019-04-19,My Healthcare,E-Commerce,Software Solutions,India,Bengaluru,Sixth Sense Ventures,Series A,3000000,2019,April
2019-04-17,Increff,SaaS & Enterprise Tech,Supply-chain technology solutions,India,Bengaluru,"021 Capita, Binny Bansal",Series A,3000000,2019,April
2019-04-17,Shuttl,Transport,Bus Aggregation,India,Gurugram,New Atlantic Ventures,Venture Capital,5000000,2019,April
2019-04-16,Kuvera,FinTech,Wealth Management,India,Bengaluru,Eight Roads,Series A,45000000,2019,April
2019-04-13,Tripoto,Media & Entertainment,Travel,India,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3591375,2019,April
2019-04-12,Azah,HealthTech,Organic wellness,India,Gurugram,Undisclosed,Seed Funding,200000,2019,April
2019-04-12,Medlife,E-Commerce,Online Medicine,India,Bengaluru,Prasid Uno Family Trust,Private Equity,17000000,2019,April
2019-04-11,CleverTap,SaaS & Enterprise Tech,Mobile analytics and marketing,India,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000,2019,April
2019-04-11,Setu,FinTech,Banking,India,Bengaluru,Lightspeed India Partners,Seed Funding,3500000,2019,April
2019-04-10,Craftsvilla,E-Commerce,Fashion and Apparel,India,Mumbai,Supera Pte Ltd,Inhouse Funding,2443495,2019,April
2019-04-10,Kabadiwala,E-Commerce,Waste Management,India,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,430665,2019,April
2019-04-10,Toppr,EdTech,E-learning,India,Mumbai,Milestone,Debt Funding,6320820,2019,April
2019-04-10,Unacademy,EdTech,E-learning,India,Bengaluru,Kalyan Krishnamurthy,Seed Funding,307000,2019,April
2019-02-13,NanoClean Global,SaaS & Enterprise Tech,Anti-Pollution,India,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,600000,2019,February
2019-02-08,Zilingo,E-Commerce,Fashion & Apparel,India,Unknown,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,226000000,2019,February
2019-02-01,FleetX,Unclassified,Logistics,India,Gurugram,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,,2019,February
